"parameter","x_correlation","y_correlation","true_value","mean_estimate","sd_estimate","bias","rmse","coverage"
"beta_x1",0.2,0.2,0.03,-0.0388289416290752,0.066285353058368,-0.0688289416290752,0.093229804423499,0.3
"beta_x1",0.2,0.4,0.03,0.0362780143292086,0.109462448262382,0.00627801432920859,0.104034793629597,0.6
"beta_x1",0.2,0.6,0.03,0.0145752009739358,0.0353797361839259,-0.0154247990260642,0.0369388357179033,0.3
"beta_x1",0.2,0.8,0.03,0.00728613653561122,0.0412682363176425,-0.0227138634643888,0.0452623484738784,0.8
"beta_x1",0.4,0.2,0.03,-0.00618216770788824,0.0750580050430593,-0.0361821677078882,0.0798716656204269,0.3
"beta_x1",0.4,0.4,0.03,-0.0013218267477196,0.0600858910693781,-0.0313218267477196,0.0650410616907136,0.6
"beta_x1",0.4,0.6,0.03,0.0149136499894823,0.116423746288591,-0.0150863500105177,0.111474830282548,0.2
"beta_x1",0.4,0.8,0.03,0.00935043563925216,0.098967273990243,-0.0206495643607478,0.0961325839517617,0.5
"beta_x1",0.6,0.2,0.03,0.0215081288406794,0.0851517892691976,-0.00849187115932062,0.0812271898440279,0.5
"beta_x1",0.6,0.4,0.03,0.0145584868353523,0.0347713732121317,-0.0154415131646477,0.0364222992734616,0.8
"beta_x1",0.6,0.6,0.03,-0.0117432629005986,0.0505873012236454,-0.0417432629005986,0.0636055621637852,0.6
"beta_x1",0.6,0.8,0.03,-0.0127435057574284,0.0834085295034358,-0.0427435057574284,0.0899349309165703,0.6
"beta_x1",0.8,0.2,0.03,0.0283109115241209,0.0510060496050951,-0.00168908847587909,0.0484180586823246,0.7
"beta_x1",0.8,0.4,0.03,0.00209836659679231,0.0543328833960194,-0.0279016334032077,0.0586119198020325,0.4
"beta_x1",0.8,0.6,0.03,0.0330711325315405,0.0843407393084922,0.00307113253154051,0.0800715688082794,0.5
"beta_x1",0.8,0.8,0.03,-0.0306935897398,0.0715881080682615,-0.0606935897398,0.0910828377391534,0.4
"beta_x2",0.2,0.2,-0.01,0.0165054790299515,0.0655015868383558,0.0265054790299515,0.0675570315297793,0.6
"beta_x2",0.2,0.4,-0.01,0.0189583578136317,0.0549670571634519,0.0289583578136317,0.0596475156494509,0.8
"beta_x2",0.2,0.6,-0.01,0.0116171075395997,0.0444334783550813,0.0216171075395997,0.0473729874214931,0.7
"beta_x2",0.2,0.8,-0.01,0.0570291533560983,0.0967150556705109,0.0670291533560983,0.113628029964663,0.5
"beta_x2",0.4,0.2,-0.01,-0.000587263677556827,0.0775613944154287,0.00941273632244317,0.0741808096368257,0.3
"beta_x2",0.4,0.4,-0.01,0.0166926963330419,0.0949560919860537,0.0266926963330419,0.093954741776376,0.7
"beta_x2",0.4,0.6,-0.01,0.0249292118678262,0.0609337321942439,0.0349292118678262,0.0675401923961973,0.6
"beta_x2",0.4,0.8,-0.01,-0.0119764733735299,0.0509314533810721,-0.00197647337352988,0.0483582267680874,0.6
"beta_x2",0.6,0.2,-0.01,-0.012246452033794,0.0292966884155389,-0.00224645203379397,0.0278839183696551,0.7
"beta_x2",0.6,0.4,-0.01,0.0011109659323207,0.0324028130951635,0.0111109659323207,0.0326864135503007,0.8
"beta_x2",0.6,0.6,-0.01,0.00232930610371276,0.0625106606639056,0.0123293061037128,0.0605709188965564,0.7
"beta_x2",0.6,0.8,-0.01,0.0580767389083006,0.0863349163253191,0.0680767389083006,0.106502527573757,0.3
"beta_x2",0.8,0.2,-0.01,0.0148506954799833,0.0963044624134247,0.0248506954799833,0.0946818440806035,0.7
"beta_x2",0.8,0.4,-0.01,0.00866011882331202,0.0289570665950381,0.018660118823312,0.0332093446142896,0.5
"beta_x2",0.8,0.6,-0.01,2.88922358330723e-05,0.11387732653548,0.0100288922358331,0.108498016702885,0.5
"beta_x2",0.8,0.8,-0.01,0.0392795414519674,0.0418968919973901,0.0492795414519674,0.0633110401814174,0.4
"beta_x3",0.2,0.2,0.06,0.0634538541830445,0.0675799016747916,0.00345385418304446,0.0642048900634117,0.5
"beta_x3",0.2,0.4,0.06,0.0071892797823813,0.0611636201140938,-0.0528107202176187,0.0784592999766035,0.3
"beta_x3",0.2,0.6,0.06,0.0401806577217931,0.086561270615615,-0.0198193422782069,0.0844770651826369,0.6
"beta_x3",0.2,0.8,0.06,0.0223908740773389,0.0633559631800086,-0.0376091259226611,0.0709015276005145,0.3
"beta_x3",0.4,0.2,0.06,0.00483503645552231,0.0972488278582647,-0.0551649635444777,0.107493135923599,0.2
"beta_x3",0.4,0.4,0.06,0.0445413258903521,0.0888955387141075,-0.0154586741096479,0.0857388227594276,0.3
"beta_x3",0.4,0.6,0.06,0.0112855117807158,0.0647502509827202,-0.0487144882192842,0.0783992146935128,0.4
"beta_x3",0.4,0.8,0.06,0.041861553808318,0.0811614694068367,-0.018138446191682,0.0791041650919706,0.5
