"variable","estimated_beta","std_error","ci_lower","ci_upper","true_beta","bias","relative_bias","within_ci","sim_number","x_correlation","y_correlation","method"
"covariate_x_1",-0.467778672496217,0.314758232567085,-1.07730065687234,0.165495401918324,0.5,-0.967778672496217,-193.555734499243,FALSE,1,0.2,0.2,"ABRM_Normal"
"covariate_x_2",-0.218617083616092,0.311513719247776,-0.818443690033854,0.40966549959947,-0.3,0.0813829163839078,-27.1276387946359,TRUE,1,0.2,0.2,"ABRM_Normal"
"covariate_x_3",0.274814534198908,0.359561610288531,-0.443109002051698,0.970566282174507,0.8,-0.525185465801092,-65.6481832251364,TRUE,1,0.2,0.2,"ABRM_Normal"
"covariate_y_1",0.383782589587441,0.270584307098217,-0.17187625172074,0.900618551009179,0.4,-0.016217410412559,-4.05435260313976,TRUE,1,0.2,0.2,"ABRM_Normal"
"covariate_y_2",-0.0967615209440251,0.284972124566128,-0.649199538105729,0.485427239140563,0.2,-0.296761520944025,-148.380760472013,TRUE,1,0.2,0.2,"ABRM_Normal"
"covariate_y_3",-0.420335283590599,0.292481584808424,-0.977817653319541,0.176740408558882,-0.6,0.179664716409401,-29.9441194015668,TRUE,1,0.2,0.2,"ABRM_Normal"
"covariate_y_4",0.413438111030377,0.184361302117988,0.0311250116380718,0.761862473235572,0.3,0.113438111030377,37.8127036767924,TRUE,1,0.2,0.2,"ABRM_Normal"
"covariate_x_1",0.355970431948009,0.313836686924181,-0.259149474423385,0.971090338319404,0.5,-0.144029568051991,-28.8059136103981,TRUE,1,0.2,0.2,"Dasymetric_Normal"
"covariate_x_2",-0.226517926966215,0.322957282620637,-0.859514200902663,0.406478346970232,-0.3,0.0734820730337848,-24.4940243445949,TRUE,1,0.2,0.2,"Dasymetric_Normal"
"covariate_x_3",0.717336303728546,0.278794682434115,0.17089872615768,1.26377388129941,0.8,-0.0826636962714543,-10.3329620339318,TRUE,1,0.2,0.2,"Dasymetric_Normal"
"covariate_y_1",2.27834299574328,0.6230934065058,1.05707991899191,3.49960607249465,0.4,1.87834299574328,469.585748935821,FALSE,1,0.2,0.2,"Dasymetric_Normal"
"covariate_y_2",0.997486269166566,0.60289469193853,-0.184187327032953,2.17915986536608,0.2,0.797486269166566,398.743134583283,TRUE,1,0.2,0.2,"Dasymetric_Normal"
"covariate_y_3",-3.90791262515687,0.798618092185656,-5.47320408584076,-2.34262116447298,-0.6,-3.30791262515687,551.318770859478,FALSE,1,0.2,0.2,"Dasymetric_Normal"
"covariate_y_4",1.0347758399771,0.439320673894125,0.173707319144615,1.89584436080959,0.3,0.734775839977101,244.925279992367,TRUE,1,0.2,0.2,"Dasymetric_Normal"
"covariate_x_1",0.262128844850065,0.335609009014635,-0.41295805435155,0.905105007003828,0.5,-0.237871155149935,-47.5742310299871,TRUE,2,0.2,0.2,"ABRM_Normal"
"covariate_x_2",0.0628366118406494,0.311726731014894,-0.553559070789161,0.6715682188927,-0.3,0.362836611840649,-120.945537280216,TRUE,2,0.2,0.2,"ABRM_Normal"
"covariate_x_3",-0.0142996846992934,0.270594534822292,-0.520654471876564,0.522989462591326,0.8,-0.814299684699293,-101.787460587412,FALSE,2,0.2,0.2,"ABRM_Normal"
"covariate_y_1",0.0901942977903179,0.344957153642398,-0.600095152317562,0.736852868724994,0.4,-0.309805702209682,-77.4514255524205,TRUE,2,0.2,0.2,"ABRM_Normal"
"covariate_y_2",-0.176583381631149,0.145134676005936,-0.455929368964714,0.119791996304893,0.2,-0.376583381631149,-188.291690815574,FALSE,2,0.2,0.2,"ABRM_Normal"
